Transaction ID,Customer ID,product detail,City,Quantity,Price variation,Discount,Transaction Date,Revenue,Profit,Store
TTD1,32773,Grocery,Karachi,16,2402,0.2543355561440178,2025-10-29 15:13:44,28657.375906273108,3675.6087396441385,Store D
TTD2,22149,book,Faisabad,16,3658,0.0783399447483018,2025-10-30 13:55:37,53942.91971377139,13069.475061499354,Store C
TTD3,50218,sports,Islamabad,7,604,0.1751745342924012,2024-06-09 01:37:06,3487.3620690117277,915.140423819349,Store A
TTD4,57448,sports,Islamabad,12,1520,0.2298422684343067,2025-05-05 04:27:19,14047.677023758246,3569.434145935261,Store A
TTD5,92242,clothing,Queeta,3,2121,0.0408203247261892,2025-11-01 02:38:16,6103.260273767258,999.6080438602326,Store F
TTD6,78856,Grocery,Karachi,8,4713,0.2337821606370839,2024-10-24 01:46:35,28889.47741533939,7391.157971213716,Store D
TTD7,32875,book,Peshawar,4,2253,0.2953824328022668,2025-10-04 23:43:15,6350.0135155859725,1881.5190920066163,Store E
TTD8,15008,book,Faisabad,12,2277,0.1482585062809336,2024-07-14 17:26:50,23272.98457437977,4277.716652740409,Store C
TTD9,65451,sports,Queeta,11,2706,0.1736181737332444,2025-01-31 14:10:44,24598.081440656246,3148.753129955876,Store F
TTD10,81291,book,Faisabad,3,699,0.0123123504096444,2024-03-02 20:34:53,2071.1810011909756,316.4939767623945,Store C
TTD11,47747,Grocery,Karachi,17,2622,0.2155059871632345,2025-11-21 07:59:17,34968.03612818598,7279.06088285794,Store D
TTD12,50168,Grocery,Lhore,14,533,0.1177585971221229,2024-03-25 03:37:56,6583.285348274719,665.1455173123913,Store B
TTD13,30899,Electronics,Islamabad,6,1959,0.1504237901023132,2025-05-02 14:26:35,9985.91877113741,1007.9033386116464,Store A
TTD14,91121,sports,Faisabad,9,3228,0.2220851547783953,2025-10-13 21:11:41,22599.98208337806,3032.2294945871417,Store C
TTD15,10186,Electronics,Karachi,12,1092,0.0610647467991324,2025-12-27 20:13:54,12303.807557944168,3629.100176403862,Store D
TTD16,94265,clothing,Queeta,7,2087,0.2026299608037948,2025-12-28 02:13:04,11648.778902617361,2514.986590627812,Store F
TTD17,67539,Electronics,Queeta,16,1766,0.1861453259684868,2024-02-29 02:47:37,22996.27766943444,2713.0862699125996,Store F
TTD18,76068,Grocery,Peshawar,12,3543,0.0829540961447361,2025-10-31 09:46:57,38989.1236483104,6285.527107712267,Store E
TTD19,20587,Grocery,Peshawar,9,2640,0.2406448109593726,2025-12-18 08:35:50,18042.279291605308,2054.0912257281198,Store E
TTD20,85630,book,Lhore,12,3241,0.2895051567312716,2025-12-02 11:21:16,27632.565444407384,3387.516956204308,Store B
TTD21,14879,clothing,Queeta,1,277,0.0786097044172158,2024-06-20 15:14:38,255.2251118764312,63.905935311717286,Store F
TTD22,54979,book,Faisabad,7,3888,0.064668646744581,2025-07-20 03:50:07,25455.978110199485,6355.8388809967755,Store C
TTD23,27287,sports,Karachi,14,4069,0.1299645351185988,2025-01-09 06:27:28,49562.4402924339,11515.529989174758,Store D
TTD24,25160,book,Faisabad,7,851,0.1102185291807568,2024-04-18 22:48:49,5300.428221670231,1512.2715843137341,Store C
TTD25,34781,Electronics,Lhore,3,212,0.1675011831452532,2024-04-01 20:54:27,529.469247519619,86.764931626972,Store B
TTD26,31272,Grocery,Lhore,14,1604,0.2149008320156968,2024-01-20 02:43:41,17630.186916255512,3065.4324453336944,Store B
TTD27,81930,book,Faisabad,1,1649,0.1736755533455884,2024-03-22 02:52:33,1362.6090125331248,386.9621194847125,Store C
TTD28,48399,clothing,Peshawar,7,4095,0.0487910614694485,2025-02-02 12:11:35,27266.40422297826,7059.002797537012,Store E
TTD29,35960,Electronics,Peshawar,4,3547,0.1009715477794429,2024-10-12 19:44:34,12755.415680105265,3350.716133385653,Store E
TTD30,51973,sports,Karachi,3,2360,0.081765063149429,2024-10-24 11:00:40,6501.103352902042,1711.0876493879737,Store D
TTD31,15198,Grocery,Faisabad,10,1384,0.2629287518253659,2025-12-06 22:52:32,10201.066074736937,2758.6923656118242,Store C
TTD32,52224,Grocery,Lhore,15,3069,0.0389590166502819,2025-06-26 16:46:49,44241.521668504276,4532.192080627309,Store B
TTD33,86430,Grocery,Faisabad,4,3552,0.2232944021094784,2025-10-01 08:26:45,11035.43313482853,1454.8697024795754,Store C
TTD34,35486,Electronics,Karachi,16,2406,0.0343210996697013,2025-05-25 12:22:27,37174.77494711518,9169.690366618977,Store D
TTD35,37929,clothing,Islamabad,11,652,0.2764505017889971,2025-01-05 23:29:29,5189.297001169312,539.489522014522,Store A
TTD36,28518,sports,Queeta,16,4653,0.0247539430203685,2024-03-10 15:20:01,72605.11845001961,20288.608793912914,Store F
TTD37,41382,book,Islamabad,13,958,0.2670631784302449,2025-02-12 22:08:53,9127.99517582973,1778.767348639146,Store A
TTD38,65281,Electronics,Karachi,2,2615,0.2606467975208165,2024-08-28 16:22:12,3866.81724896613,723.7256053051049,Store D
TTD39,39600,Grocery,Lhore,10,1155,0.1279545519844899,2025-09-13 22:35:46,10072.124924579142,3017.9170503613886,Store B
TTD40,17228,Electronics,Islamabad,17,1302,0.2273747634378877,2024-01-24 05:21:54,17101.286986065792,2579.3190015789096,Store A
TTD41,83343,clothing,Lhore,18,4628,0.2676514606811699,2024-05-03 11:53:16,61007.562719415815,15496.273454783226,Store B
TTD42,75908,clothing,Karachi,18,1791,0.1858092040174425,2024-09-06 23:57:11,26247.88288088569,3323.195867178856,Store D
TTD43,27765,Electronics,Queeta,9,1679,0.0496303695535611,2024-09-21 09:12:38,14361.035485676137,1477.4808420478644,Store F
TTD44,38655,clothing,Peshawar,7,3834,0.0728825175558904,2025-10-21 04:18:57,24881.978993835015,6725.543275477317,Store E
TTD45,73573,book,Peshawar,15,871,0.1206074585477249,2024-06-12 14:12:27,11489.263554073974,3349.5393447271017,Store E
TTD46,43149,Grocery,Karachi,4,1586,0.2299128848778987,2025-05-06 10:54:39,4885.43265833461,517.8852084151165,Store D
TTD47,75110,book,Islamabad,5,346,0.0570904889691592,2025-04-07 23:04:53,1631.2334540833544,206.06150359137686,Store A
TTD48,63826,sports,Peshawar,13,2514,0.2385867841847357,2025-05-11 10:23:57,24884.50671927447,3987.10701526593,Store E
TTD49,14446,Electronics,Islamabad,8,2008,0.018111303375601,2025-11-08 14:30:19,15773.060022574346,3753.3076401180456,Store A
TTD50,17829,clothing,Faisabad,7,4529,0.110793500901699,2024-12-16 17:57:50,28190.513640913436,7904.136461539335,Store C
TTD51,91237,Grocery,Faisabad,16,4780,0.2949884479418299,2025-09-06 15:52:44,53919.28350140885,7907.586035062349,Store C
TTD52,18940,book,Queeta,12,3677,0.1534111619387442,2024-02-04 00:53:43,37354.88589061485,9582.22117269715,Store F
TTD53,47673,Grocery,Queeta,10,3050,0.2582978873301502,2024-07-17 12:45:34,22621.91443643042,3472.241421766562,Store F
TTD54,66599,sports,Peshawar,14,1710,0.2645520217783647,2025-06-27 19:14:41,17606.62459862595,5031.5246210072255,Store E
